Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","21111.01b","Meat of cattle with the bone, fresh or chilled (biological)","2021","2021","7021","Annual value","USD","2449.3","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","21121","Meat of chickens, fresh or chilled","2021","2021","7021","Annual value","USD","4546.5","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","21121b","Meat of chickens, fresh or chilled (biological)","2021","2021","7021","Annual value","USD","838.5","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","21113.01","Meat of pig with the bone, fresh or chilled","2021","2021","7021","Annual value","USD","5609.6","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","21113.01b","Meat of pig with the bone, fresh or chilled (biological)","2021","2021","7021","Annual value","USD","3809","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","21114","Meat of rabbits and hares, fresh or chilled","2021","2021","7021","Annual value","USD","4962.6","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","21115","Meat of sheep, fresh or chilled","2021","2021","7021","Annual value","USD","5587","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","21115b","Meat of sheep, fresh or chilled (biological)","2021","2021","7021","Annual value","USD","3036.9","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","02910","Natural honey","2021","2021","7021","Annual value","USD","7690.9","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","01253.02","Onions and shallots, dry (excluding dehydrated)","2021","2021","7021","Annual value","USD","330.9","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","01253.01","Onions and shallots, green","2021","2021","7021","Annual value","USD","1541.8","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","01241.90","Other beans, green","2021","2021","7021","Annual value","USD","684.8","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","01345","Peaches and nectarines","2021","2021","7021","Annual value","USD","489.5","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","01342.01","Pears","2021","2021","7021","Annual value","USD","724.6","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","01705","Peas, dry","2021","2021","7021","Annual value","USD","421.2","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","01242","Peas, green","2021","2021","7021","Annual value","USD","1210.9","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","01346","Plums and sloes","2021","2021","7021","Annual value","USD","333.8","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","01510","Potatoes","2021","2021","7021","Annual value","USD","304.8","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","01342.02","Quinces","2021","2021","7021","Annual value","USD","357.3","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","02211","Raw milk of cattle","2021","2021","7021","Annual value","USD","308.4","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","0116","Rye","2021","2021","7021","Annual value","USD","238.2","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","02941","Shorn wool, greasy, including fleece-washed shorn wool","2021","2021","7021","Annual value","USD","1320.9","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","01354","Strawberries","2021","2021","7021","Annual value","USD","1842","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","01234","Tomatoes","2021","2021","7021","Annual value","USD","379","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","01970","Unmanufactured tobacco","2021","2021","7021","Annual value","USD","159.9","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","01376","Walnuts, in shell","2021","2021","7021","Annual value","USD","2376.3","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","01221","Watermelons","2021","2021","7021","Annual value","USD","177.9","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","0111","Wheat","2021","2021","7021","Annual value","USD","297.8","A","Official figure"
"PP","Producer Prices","036","Australia","5532","Producer Price (USD/tonne)","01371","Almonds, in shell","2021","2021","7021","Annual value","USD","3675.8","A","Official figure"
"PP","Producer Prices","036","Australia","5532","Producer Price (USD/tonne)","01341","Apples","2021","2021","7021","Annual value","USD","1913.6","A","Official figure"
"PP","Producer Prices","036","Australia","5532","Producer Price (USD/tonne)","01311","Avocados","2021","2021","7021","Annual value","USD","2936.2","A","Official figure"
"PP","Producer Prices","036","Australia","5532","Producer Price (USD/tonne)","01312","Bananas","2021","2021","7021","Annual value","USD","1427.3","A","Official figure"
"PP","Producer Prices","036","Australia","5532","Producer Price (USD/tonne)","0115","Barley","2021","2021","7021","Annual value","USD","191.2","A","Official figure"
"PP","Producer Prices","036","Australia","5532","Producer Price (USD/tonne)","01212","Cabbages","2021","2021","7021","Annual value","USD","596.1","A","Official figure"
"PP","Producer Prices","036","Australia","5532","Producer Price (USD/tonne)","01229","Cantaloupes and other melons","2021","2021","7021","Annual value","USD","639.2","A","Official figure"
"PP","Producer Prices","036","Australia","5532","Producer Price (USD/tonne)","01251","Carrots and turnips","2021","2021","7021","Annual value","USD","691.9","A","Official figure"
"PP","Producer Prices","036","Australia","5532","Producer Price (USD/tonne)","01213","Cauliflowers and broccoli","2021","2021","7021","Annual value","USD","819.9","A","Official figure"
"PP","Producer Prices","036","Australia","5532","Producer Price (USD/tonne)","01344.02","Cherries","2021","2021","7021","Annual value","USD","9237","A","Official figure"
"PP","Producer Prices","036","Australia","5532","Producer Price (USD/tonne)","01703","Chick peas, dry","2021","2021","7021","Annual value","USD","445.4","A","Official figure"
"PP","Producer Prices","036","Australia","5532","Producer Price (USD/tonne)","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2021","2021","7021","Annual value","USD","1934.6","A","Official figure"
"PP","Producer Prices","036","Australia","5532","Producer Price (USD/tonne)","01330","Grapes","2021","2021","7021","Annual value","USD","718","A","Official figure"
"PP","Producer Prices","036","Australia","5532","Producer Price (USD/tonne)","01290.01","Green corn (maize)","2021","2021","7021","Annual value","USD","1316.9","A","Official figure"
