product_name,ingredients_text,countries_en,is_english,MRIO_CPC_description,lca_food_group,lca_similarity,co2_kg_per_kg,land_use_m2_per_kg
Organic Oat Groats,Organic oat groats,United States,True,Cultivation of cereal grains nec,Oat milk,0.60607076,0.4532805909090909,0.52687415
Energy Power Mix,"Yogurt raisins, tamari roasted almonds, organic tamari roasted soy nuts, dark chocolate stars, cranberries, dark chocolate chips, peanut butter chips, milk chocolate raisins, pineapple, papaya, peanut butter peanuts & raisins, roasted peanuts.",United States,True,"""Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)""",Mixed salad,0.21535468,0.9209,1.1609733333333332
Organic Quinoa Coconut Granola With Mango,"Organic rolled oats, organic evaporated cane juice, organic quinoa flakes, organic raisins, organic expeller pressed canola oil, organic mango, organic oat bran, organic coconut.",United States,True,Cultivation of plant-based fibers,Granola,0.5509967,1.7811926156448203,5.141597698942918
Fire Roasted Hatch Green Chile Almonds,"Dry roasted almonds, hatch green chile seasoning (organic cheddar cheese powder [organic cheddar cheese {cultured pasteurized milk, salt, enzymes}, organic nonfat milk,organic whey, salt, sodium phosphate], salt, hatch green chile pepper, evaporated cane juice, onion, parsely, natural flavors,garlic, maltodextrin, spices, spices extractives, citric acid), expeller pressed canola oil.",United States,True,"Cultivation of vegetables, fruit, nuts",Almonds,0.66496646,0.6023678597222223,8.230926805555555
Peanut Butter Power Chews,"Peanut butter (dry roasted peanuts, palm oil, salt), honey, crispy brown rice (brown rice flour [rice flour, rice bran], honey, calcium carbonate), barley malt, soy lecithin (an emulsifier), sea salt, locust bean gum, carrageenan gum.",United States,True,Processing of Food products nec,Peanut butter,0.66224384,3.434960202255639,8.694059591729324
Organic Unswt Berry Coconut Granola,"Organic whole rolled oats, organic expeller pressed canola oil, organic raisins, organic coconut, organic corn meal, organic flax seed, organic freeze dried raspberries, organic freeze dried blueberries, organic vanilla, salt.",United States,True,Cultivation of crops nec,Granola,0.6309803,1.7811926156448203,5.141597698942918
Roasted Salted Black Pepper Cashews,"Whole cashews, sunflower oil, salt, black pepper",United States,True,Processing of Food products nec,Cashew nuts,0.70294523,2.087644250617284,11.720881622222224
Thai Curry Roasted Cashews,"Cashews, curry seasoning (salt, maltodextrin, spices, torula yeast, onion, garlic, turmeric, extractives of spice and natural flavor), canola oil.",United States,True,"Cultivation of vegetables, fruit, nuts",Cashew nuts,0.6485159,2.087644250617284,11.720881622222224
Organic Medium Shredded Coconut,Organic coconut,United States,True,Cultivation of plant-based fibers,Coconut milk,0.6414034,3.319989781818182,0.5452690261363636
Organic Red Quinoa,Organic red quinoa,United States,True,Cultivation of cereal grains nec,Quinoa,0.6940002,1.1386422326086956,3.231874423913044
Dark Chocolate Coconut Chews,"Coconut bar (coconut, brown rice syrup), dark chocolate coating (unsweetened chocolate, dehydrated cane juice, cocoa butter, soy lecithin [as an emulsifier], natural vanilla).",United States,True,Cultivation of plant-based fibers,Dark chocolate,0.6709026,20.62003664137931,48.78823265344828
Seventh Heaven Organic Trail Mix,"Organic semi-sweet chocolate chips (organic sugar, organic chocolate liquor, organic cocoa butter, soy lecithin, organic vanilla), organic pumpkin seeds, organic almonds, organic cranberries (sweetened with organic cane juice), organic raisins, organic coconut, organic sunflower seeds.",United States,True,Cultivation of crops nec,Cucumber,0.33373109,0.8471137361163819,1.080248658570525
"Organic Unsweetened Granola, Cinnamon Almond","Organic whole rolled oates, organic raisins, organic expeller pressed canola oil, organic flax seed, organic corn meal, organic almonds, organic coconut, organic cinnamon, salt.",United States,True,Cultivation of cereal grains nec,Granola,0.63323766,1.7811926156448203,5.141597698942918
Organic Blueberry Almond Granola,"Organic rolled oats, organic evaporated cane juice, organic expeller pressed canola oil, organic raisins, organic apples, organic almonds, organic oat bran, organic blueberries, organic sunflower seeds.",United States,True,Cultivation of crops nec,Granola,0.610087,1.7811926156448203,5.141597698942918
Aunt Maple's Crunchy Granola,"Organic rolled oats, flame raisins, organic coconut chips, organic maple syrup, sunflower oil, walnuts, roasted diced almonds, wheat germ, honey, crunchy almond butter (dry roasted almonds), hazelnuts, almonds, organic ground cinnamon, organic vanilla extract.",United States,True,Cultivation of cereal grains nec,Granola,0.70249903,1.7811926156448203,5.141597698942918
Organic Coconut Chips,Organic coconut.,United States,True,Cultivation of crops nec,Coconut oil,0.5980829,0.5287412809523809,0.7344970952380951
Organic Black Beans,Organic black beans,United States,True,Cultivation of crops nec,Beans,0.6327133,1.3733080129032258,17.068111412903228
Organic Whole Grain Emmer Farro,Bluebird grain organic grain emmer farro,United States,True,Cultivation of plant-based fibers,Olive oil,0.39260668,5.184628231372549,21.707958043137253
Organic Hard Red Wheat Berries,Organic hard red wheat berries.,United States,True,Cultivation of plant-based fibers,Strawberries,0.57775396,3.241715,3.44723
Aunt Ginger's Snappy Granola,"Organic rolled oats, organic brown rice syrup, flame raisins, sunflower oil, wheat germ, unsulphured blackstrap molasses, organic maple syrup, honey, almond butter, organic cashews, roasted almonds, organic spices.",United States,True,Cultivation of cereal grains nec,Granola,0.70405453,1.7811926156448203,5.141597698942918
Dark Chocolate Sea Salt & Turbinado Almonds,"Dark chocolate coating (unsweetened chocolate, evaporated cane juice, cocoa butter, soy lecithin [an emulsifier], natural vanilla), dry roasted almonds, turbinado sugar, sea salt.",United States,True,"Cultivation of vegetables, fruit, nuts",Almonds,0.61432,0.6023678597222223,8.230926805555555
Divinely Organic Granola,"Organic rolled oats, organic rolled rye, organic brown rice syrup, organic walnuts, organic raisins, organic safflower oil, spices.",United States,True,Cultivation of cereal grains nec,Granola,0.76166475,1.7811926156448203,5.141597698942918
Organic Black Chia Seeds,Organic black chia seeds,United States,True,Cultivation of plant-based fibers,Chia seeds,0.84286463,1.2205535,3.4277066
Naturablue original,,France,True,Cultivation of plant-based fibers,Naan,0.35560155,1.0132342196078432,2.2928056901960785
Marks % Spencer 2 Blueberry Muffins,"pasteurized free range egg.sugar.blueberries (15%).rapeseed oil.potato starch.water.cornflour.thickener.e1422.palm oil.dried whey (milk).raising agent.e450, sodium bicarbonate. emulsifier. e481, e472e, e472b, e475.flavoring.dried glucose syrup.dried skimmed milk.stabiliser. xanthan gum.salt",United Kingdom,True,Processing of Food products nec,Muffins,0.5907494,2.5836309558468336,3.076159288199736
Organic French Green Lentils,Organic french green lentils,United States,True,Cultivation of crops nec,Lentils,0.77393013,2.536520218918919,27.474860575675677
Organic Green Split Peas,Organic green split peas,United States,True,Cultivation of crops nec,Garden peas,0.74380964,1.00383673125,6.60847461875
Organic Small Red Chili Beans,"High fiber, low fat, vegetable nourishment.",United States,True,Cultivation of crops nec,Beans,0.5867139,1.3733080129032258,17.068111412903228
Organic Small White Beans,Organic small white beans.,United States,True,Cultivation of crops nec,Beans,0.5904201,1.3733080129032258,17.068111412903228
Organic Grey-Green Lentils,Organic grey-green lentils,United States,True,Cultivation of crops nec,Lentils,0.77244717,2.536520218918919,27.474860575675677
Organic Yellow Split Peas,Organic yellow split peas,United States,True,Cultivation of crops nec,Garden peas,0.69534713,1.00383673125,6.60847461875
Organic Baby Lima Beans,Organic baby lima beans,United States,True,Cultivation of crops nec,Beans,0.6097836,1.3733080129032258,17.068111412903228
Organic Dark Red Kidney Bean,Organic dark red kidney bean,United States,True,Cultivation of crops nec,Garden peas,0.58123,1.00383673125,6.60847461875
Organic Couscous,"Refined enriched durum semolina wheat, thiamine, riboflavin, niacin and iron",United States,True,Cultivation of crops nec,Couscous,0.8759972,1.1579787751631003,2.951479593207873
Organic Refined Spelt Flour,Organic refined spelt flour.,United States,True,Cultivation of cereal grains nec,Sourdough bread,0.36247185,0.851167273619632,2.371923044785276
10-Grain Pancake Mix,"Wheat, rye, triticale, oat, corn, barley, soy bean, brown rice, and millet flours; flaxseed, buttermilk powder, non-aluminum baking powder (baking soda, sodium phosphate, cornstarch, and monocalcium phosphate), sea salt",United States,True,Processing of Food products nec,Pancakes,0.5999094,1.5478088875481386,2.441447486533516
"Sweeteners, Organic Fair Trade Sugar",Organic evaporated cane juice.,United States,True,Manufacture of beverages,Sugar,0.59920913,1.851685668181818,2.153669372727273
Organic Refined Unbleached White Flour,"Organic refined wheat flour (niacin, iron, thiamin mononitrate, riboflavin and folic acid).",United States,True,Processing of Food products nec,Olive oil,0.30921987,5.184628231372549,21.707958043137253
Organic Whole Brown Rice Flour,Organic whole brown rice flour,United States,True,Cultivation of cereal grains nec,Rice,0.57309145,3.925909801226994,2.9366605355828224
Organic Whole Spelt Flour,Organic whole grain spelt flour,United States,True,Cultivation of cereal grains nec,Bread,0.38551658,0.8787608464606183,2.2412011
Organic Whole Rye Flour,Organic whole rye flour.,United States,True,Cultivation of cereal grains nec,Bread,0.46250287,0.8787608464606183,2.2412011
Granola Cranberry And Acai,"Whole rolled oats, milled cane sugar, vegetable oil (canola and/or safflower and/or sunflower oil), rice flour, constarch, dried cranberries (cranberries, sugar, sunflower oil), natural flavor, salt, barley malt syrup, acai berry.",United States,True,Cultivation of cereal grains nec,Granola,0.61073375,1.7811926156448203,5.141597698942918
Organic Medium Whole Wheat Flour,Organic whole grain hard red wheat flour,United States,True,Cultivation of plant-based fibers,Breakfast cereal,0.41853198,1.4934272760956175,2.895190374501992
Organic Soft Whole Wheat Pastry Flour,Organic soft white wheat flour.,United States,True,Cultivation of plant-based fibers,Bread,0.40206552,0.8787608464606183,2.2412011
"Peanuts, Mixed Nuts","Peanuts, honey, coating (sucrose, wheat starch, honey, maltodextrin, xanthan gum), non gmo canola oil, sugar, salt.",United States,True,Cultivation of crops nec,Peanuts,0.84807307,3.1462268521739127,8.310863473913043
Organic Large Raw Whole Cashews,Organic cashews.,United States,True,Cultivation of plant-based fibers,Cashew nuts,0.67851144,2.087644250617284,11.720881622222224
Organic Brown Sesame Seeds,Organic sesame seed with hulls,United States,True,Cultivation of crops nec,Sunflower seeds,0.5225595,1.9344241125,10.97975300625
Organic White Sesame Seeds,Organic hulled sesame seeds,United States,True,Cultivation of crops nec,Sunflower seeds,0.5135504,1.9344241125,10.97975300625
Almonds Hickory-Smoked,"Almonds, salt, corn starch,hydrolyzed corn protein, natural smoke flavor, torula yeast, spices, extractives, and expeller pressed sunflower oil.",United States,True,Processing of Food products nec,Almonds,0.68799907,0.6023678597222223,8.230926805555555
"Foods, Spanish Peanuts","Spanish peanuts, expeller pressed high monounsaturated safflower and/or sunflower oil, salt",United States,True,Processing of Food products nec,Peanuts,0.715407,3.1462268521739127,8.310863473913043
"Foods, Honey Roasted Nut Mix","Peanuts, almonds, cashews, pecans, sucrose, honey, wheat starch, expeller pressed high monounsaturated safflower and/or sunflower oil, maltodextrin, lactose, salt",United States,True,Processing of Food products nec,Cashew nuts,0.59068686,2.087644250617284,11.720881622222224
Roasted Salted Sunflower Seeds,"Sunflower kernels, coconut oil, salt",United States,True,Cultivation of crops nec,Sunflower seeds,0.7974222,1.9344241125,10.97975300625
Organic Raw Sunflower Seeds,Organic raw sunflower seeds.,United States,True,Cultivation of crops nec,Sunflower seeds,0.812825,1.9344241125,10.97975300625
Organic Trail Mix,"Organic raisins, organic dry roasted peanuts, organic sunflower seeds, organic almonds, organic dates (organic dates, organic oat flour), organic apricots, organic pumpkin seeds, organic apples, organic walnuts.",United States,True,Cultivation of plant-based fibers,Coconut oil,0.35267177,0.5287412809523809,0.7344970952380951
Organic Pecan Halves,Us grown organic pecans.,United States,True,Cultivation of crops nec,Pecan nuts,0.6730898,2.5159416210526317,11.730031494736844
Unsalted Dry Roasted Almonds,Dry roasted almonds.,United States,True,"Cultivation of vegetables, fruit, nuts",Almonds,0.692846,0.6023678597222223,8.230926805555555
Organic Raw Pumpkin Seeds,Organic pumpkin seeds,United States,True,Cultivation of crops nec,Pumpkin seeds,0.80792713,1.3239754169230769,3.336552010769231
Organic Shoyu,"Water, organic whole soybeans, organic whole wheat, salt and alcohol (to preserve freshness). cooked, mashed and fermented with a traditional microbial culture (aspergillus oryzae).",United States,True,Cultivation of plant-based fibers,Rice,0.48099506,3.925909801226994,2.9366605355828224
Organic Wheat-Free Tamari,"Water, organic whole soybeans, salt and alcohol (to preserve freshness). cooked, mashed, and fermented with a traditional microbial culture (aspergillus oryzae).",United States,True,Cultivation of plant-based fibers,Rice,0.4433311,3.925909801226994,2.9366605355828224
Curry Lentil Soup Mix,"Precooked lentils, salt, curry spices and herbs, onions, garlic.",United States,True,Processing of Food products nec,Lentils,0.56088513,2.536520218918919,27.474860575675677
Split Pea Soup Mix,"Precooked green split peas, carrots, salt, onion, garlic, herbs and spices",United States,True,Processing of Food products nec,Garden peas,0.46278682,1.00383673125,6.60847461875
Whole Wheat 'N Honey Fig Bars,"Figs, stone-ground whole wheat flour, honey, pear juice, unhydrogenated soybean oil, molasses, cornstarch, extract of malted barley and corn, cultured whey, sea salt, lemon juice, baking soda, and lecithin.",United States,True,Cultivation of wheat,Cereal bars,0.6148309,2.8533841636861315,5.560588325729928
Chocolate Nut Crunch,"Peanut butter chips (evaported cane juice, fractionated palm kernel oil, peanut flour, whey, lecithin), roasted peanuts (peanuts, peanut or canola oil, salt), chocolate chips (whole grain malted barley and corn, chocolate liquor with unsweetened chocolate, cocoa butter, lecithin, vanilla), roasted almonds, raisins, peanuts, chocolate peanuts and raisins (whole grain malted barley and corn, cocoa butter, whole milk powder, chocolate liquor with unsweetened chocolate, lecithin, vanilla, food glaze)",United States,True,Processing of Food products nec,Chocolate cereals,0.67105544,2.8776255585585586,7.379762667567568
Lion Peanut x2,,"France,United States",True,Animal products nec,Peanuts,0.57433605,3.1462268521739127,8.310863473913043
Milk Chocolate Peanut Butter Malt Balls,"Peanut butter coating (evaporated cane juice, fractionated palm kernal oil, partially defatted peanut flour, whey powder [milk], soy lecithin [an emulsifier]), milk chocolate coating (dehydrated cane juice, cocoa butter, unsweetened chocolate, whole milk powder, soy lecithin [an emulsifier], natural vanilla), malt balls (glucose syrup [corn], whey powder, malted milk powder [malted barley, wheat flour, milk, bicarbonate of soda, mono and diglycerides), pure food glaze.",United States,True,Processing of dairy products,Peanut butter,0.6015139,3.434960202255639,8.694059591729324
Regular Rolled Oats,Rolled oats,United States,True,Cultivation of cereal grains nec,Oat milk,0.6185254,0.4532805909090909,0.52687415
Quick Rolled Oats,Quick rolled oats,United States,True,Cultivation of cereal grains nec,Oat milk,0.625752,0.4532805909090909,0.52687415
Organic Toasted Buckwheat Groats,Organic toasted buckwheat groats,United States,True,Cultivation of wheat,Cashew nuts,0.39045936,2.087644250617284,11.720881622222224
Organic Rolled Barley Flakes,Rolled barley,United States,True,Cultivation of cereal grains nec,Chocolate cereals,0.40917155,2.8776255585585586,7.379762667567568
8-Grain Wheat Free Cereal,"Whole grain corn, oats, brown rice, soybeans, oat bran, millet, barley, sunflower seeds and flax seeds",United States,True,Cultivation of wheat,Breakfast cereal,0.6694551,1.4934272760956175,2.895190374501992
Swiss-Style Muesli,"Rolled oats, rolled wheat, rolled rye, date pieces, raisins, toasted almonds, roasted hazelnuts, roasted walnuts, raw sunflower seeds",United States,True,Manufacture of beverages,Muesli,0.7051956,2.271910570798898,3.953067796418732
Organic Hulless Barley,Organic hulless barley,United States,True,Cultivation of cereal grains nec,Garden peas,0.41997704,1.00383673125,6.60847461875
Organic Popcorn,Organic popcorn,United States,True,Cultivation of crops nec,Popcorn,0.8299382,1.813625906,3.1817772333333334
Organic Soft White Wheat Berries,Organic soft white wheat berries,United States,True,Cultivation of plant-based fibers,Strawberries,0.588046,3.241715,3.44723
Organic Pearled Barley,Organic pearled barley.,United States,True,Cultivation of plant-based fibers,Garden peas,0.44567215,1.00383673125,6.60847461875
Organic Wheat Bran,Organic wheat bran,United States,True,Cultivation of wheat,Bread,0.4555911,0.8787608464606183,2.2412011
Organic Raw Buckwheat Groats,Organic raw buckwheat groats,United States,True,Cultivation of plant-based fibers,Soy yoghurt,0.35721856,0.4960198166666666,1.0238125444444444
Organic Oat Bran,Organic oat bran,United States,True,Cultivation of cereal grains nec,Oat milk,0.70871115,0.4532805909090909,0.52687415
Organic Thick Cut Rolled Oats,Organic thick cut rolled oats,United States,True,Cultivation of cereal grains nec,Oat milk,0.53537726,0.4532805909090909,0.52687415
Organic Regular Rolled Oats,Organic regular rolled oats,United States,True,Cultivation of cereal grains nec,Oat milk,0.5837794,0.4532805909090909,0.52687415
Organic Rolled Rye Flakes,Organic rolled rye flakes,United States,True,Cultivation of cereal grains nec,Garden peas,0.43496493,1.00383673125,6.60847461875
Organic Quick Rolled Oats,Rolled oats,United States,True,Cultivation of cereal grains nec,Oat milk,0.59066844,0.4532805909090909,0.52687415
Countrywild Rice Blend,"Unmilled wehani, japonica black, and long grain brown rices",United States,True,Cultivation of cereal grains nec,Rice,0.6377,3.925909801226994,2.9366605355828224
Lundberg Organic Golden Rose Medium Brown Rice,Organic golden rose medium brown rice,United States,True,Cultivation of cereal grains nec,Rice,0.5963358,3.925909801226994,2.9366605355828224
Organic Short Grain Brown Rice,Organic short grain brown rice,United States,True,Cultivation of cereal grains nec,Rice,0.646135,3.925909801226994,2.9366605355828224
Organic Sweet Brown Rice,Organic sweet brown rice,United States,True,Cultivation of cereal grains nec,Rice,0.7165505,3.925909801226994,2.9366605355828224
Organic California White Sushi Rice,Organic california white sushi rice,United States,True,Cultivation of cereal grains nec,Rice,0.68925244,3.925909801226994,2.9366605355828224
Organic Harvest Pilaf,"Organic basmati rice, organic green and yellow peas, organic red and green lentils, and organic wild rice.",United States,True,Cultivation of cereal grains nec,Chia seeds,0.4484363,1.2205535,3.4277066
Organic Wild Rice,Organic wild rice,United States,True,Cultivation of crops nec,Rice,0.73214525,3.925909801226994,2.9366605355828224
Organic Flax Seed,Organic brown flax seeds,United States,True,Cultivation of plant-based fibers,Sunflower seeds,0.5610751,1.9344241125,10.97975300625
Turkish Apricots,"Apricots, sulfur dioxide.",United States,True,Cultivation of crops nec,Apricot jam,0.6512189,1.3821050899999998,1.368510216666667
Banana Chips Sweetened,"Bananas, vegetable oil(coconut oil, corn oil, and/or palm oil)sugar, natural banana flavor",United States,True,Sugar refining,Bananas,0.6690855,0.8733495729166667,2.63982366875
Granola Honey Almonds,"Whole rolled oats, milled cane sugar, whole rolled wheat, vegetable oil (canola and/or safflower and/or sunflower oil), coconut, honey, almonds, molasses, natural flavor, salt, organic cardamon seed, organic fennel seed, organic fenugreek seed, organic nu",United States,True,Cultivation of crops nec,Almonds,0.75258195,0.6023678597222223,8.230926805555555
"M&S Extrenely Chocolatey Milk, Dark & White Chocolate Biscuits","milk chocolate (32%) (sugar, cocoa butter, dried whole milk, cocoa mass, dried whey (milk), dried skimmed milk, emulsifier: soya lecithin), dark chocolate (17%) (sugar, cocoa mass, cocoa butter, butter oil (milk), emulsifier: soya lecithin, vanilla flavouring), wheatflour contains gluten (with wheatflour, calcium carbonate, iron, niacin, thiamin), white chocolate (13%) (sugar, cocoa butter, dried skimmed milk, butter oil (milk), dried whole milk, emulsifier: soya lecithin, vanilla flavouring), sugar, palm oil, butter (milk), palm kernel oil, palm fat, cocoa powder, partially inverted sugar syrup, glucose syrup, cornflour, dried skimmed milk, dried whole milk, oatmeal (contains gluten), salt, ginger, raising agent: sodium bicarbonate, e450, e503, dextrose, cocoa mass, emulsifier: soya lecithin, ground ginger, pasteurised free range egg, flavourings, orange peel, molasses, lemon peel, colour: carotenes, acidity regulator: citric acid",United Kingdom,True,Manufacture of beverages,Chocolate biscuits,0.7465478,5.083679001818182,13.565422218484848
Organic Salted Pistachios,"Organic pistachios, sea salt.",United States,True,Cultivation of oil seeds,Almonds,0.44940212,0.6023678597222223,8.230926805555555
"Organic Dried Turkish Apricots, Bin # 5801",Organic apricots,United States,True,"Cultivation of vegetables, fruit, nuts",Apricot jam,0.53626525,1.3821050899999998,1.368510216666667
Organic Unsalted Pistachios,Roasted pistachios.,United States,True,Cultivation of crops nec,Almonds,0.46329588,0.6023678597222223,8.230926805555555
Organic Medjool Dates,Organic medjool dates.,United States,True,Cultivation of crops nec,Sunflower oil,0.24536699,3.6613972142857145,19.461267114285715
Organic Pitted Prunes,Organic dried plums,United States,True,Cultivation of plant-based fibers,Prawn crackers,0.45377254,4.93285324,5.467811935
Organic Pitted Deglet Dates,Organic deglet noor dates,United States,True,Cultivation of crops nec,Vegetable lasagne,0.24372573,3.3761406499999995,4.149298441666667
Organic Thompson Raisins,"Organic select thompson seedless raisins, and organic sunflower oil.",United States,True,Cultivation of crops nec,Almonds,0.5552154,0.6023678597222223,8.230926805555555
Organic Brown Basmati Rice,Organic brown basmati rice,United States,True,Cultivation of cereal grains nec,Rice,0.64564294,3.925909801226994,2.9366605355828224
Organic White Basmati Rice,Organic white basmati rice,United States,True,Cultivation of cereal grains nec,Rice,0.6366063,3.925909801226994,2.9366605355828224
Organic Unrefined Mascobado Sugar,Organic unrefined mascobado sugar.,United States,True,Sugar refining,Sugar,0.6069752,1.851685668181818,2.153669372727273
Pecan Halves,Pecan halves,United States,True,Processing of Food products nec,Pecan nuts,0.70075035,2.5159416210526317,11.730031494736844
Organic Whole Cashews,Organic cashews.,United States,True,Cultivation of crops nec,Cashew nuts,0.73561376,2.087644250617284,11.720881622222224
Fresh Organic Carrots,Fresh organic carrots,United States,True,Cultivation of crops nec,Carrots,0.7471447,0.935163376,1.601823487
Veggie Colin the Caterpillar,"sugar, glucose syrup, modified potato starch, glucose-fructose syrup, acid: malic acid, citric acid, lactic acid, flavourings, acidity regulator: calcium carbonate - fruit, vegetable and plant concentrates (safflower, apple, lemon, pumpkin, carrot, red grape, blackcurrant), elderberry juice from concentrate, invert sugar syrup, spirulina concentrate",United Kingdom,True,Cultivation of crops nec,Falafels,0.4203989,1.098106175,6.5675244875
still Scottish water,water,United Kingdom,True,Manufacture of beverages,Mackerel,0.37945786,13.606384471999998,5.801549458
Fairtrade Ground Cinnamon,cinnamon,United Kingdom,True,Cultivation of crops nec,Dark chocolate,0.34624067,20.62003664137931,48.78823265344828
"Gotta-have grape, seriously strawberry flavor",,France,True,Manufacture of beverages,Grapes,0.5991448,8.278876373015873,1.5365324888888887
Sliced Plain Bagel,"Unbleached enriched flour (wheat flour, barley malt flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), water, sugar, contains 2% or less of: wheat gluten, wheat flour, salt, yeast, distilled vinegar, cultured corn syrup solids, cul",United States,True,Processing of Food products nec,Bagels,0.74542665,0.8028126,2.26294722
Seasonal Cookie Platter,"Enriched flour (bleached wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), palm soy oil margarine (palm oil, soybean oil, water, salt, beta carotene, vitamin a palmitate), unsalted butter (milk), semisweet chocolate chunks (",United States,True,Processing of Food products nec,Cookies,0.6199358,3.3572777805192344,7.1841136765092575
Freshly Baked Italian Loaf,"Enriched wheatflour (wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), water, yeast, vegetable oil, salt, dough improver (yeast, wheatflour. enzymes, soybean oil, ascorbic acid).",United States,True,Processing of Food products nec,Bread,0.64670914,0.8787608464606183,2.2412011
Freshly Baked Apple Pie,"Apples, sugar, unbleached enriched wheat flour (niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid) palm oil, water, modified corn starch, cultured dextrose (maltodextrin, cultured dextrose), dextrose, salt, cinnamon, agar, carob bean gum.",United States,True,Processing of Food products nec,Apple pie,0.8133609,1.2449736986040187,1.7651649809258605
Freshly Baked In Store Cherry Turnover,"Pastry: unbleached wheat flour (wheat flour, malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid), water, non hydrogenated palm oil, sugar, salt, ascorbic acid, beta carotene. filling: cherries, sugar, water, corn syrup, modifi",United States,True,Cultivation of plant-based fibers,Cherry tomatoes,0.40336967,2.26636,0.930353076923077
Apple Turnover,"Pastry: unbleached wheat flour (wheat flour, malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid), water, non hydrogenated palm oil, sugar, salt, ascorbic acid, beta carotene. filling: apples, sugar, water, corn syrup, modified",United States,True,Cultivation of crops nec,Apples,0.48740977,0.5073538973544973,0.6689985968253969
Assorted Strudel Bite,"Pastry dough [unbleached enriched wheat flour (wheat flour, malted barley flour, ascorbic acid, niacin, thiamin mononitrate, riboflavin, folic acid), water, shortening (palm oil, beta-carotene [for color]), sugar, salt], fruit filling [water, sugar, apple",United States,True,Processing of dairy products,Prawn crackers,0.36178485,4.93285324,5.467811935
Freshly Baked Chocolat Croissant,"Wheat flour, butter, water, chocolate (sugar, cocoa mass, cocoa butter, natural vanilla flavor, soy lecithin), sugar, yeast, whole milk powder, salt, wheat gluten, rapeseed oil lecithin, egg wash (eggs, water), ascorbic acid, enzymes.",United States,True,Processing of Food products nec,Croissants,0.7200461,1.6822277803614705,3.670050556025579
Cornbread,"Enriched wheat flour (wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), sugar, water, egg, soybean oil, cornmeal, corn starch, leavening (sodium acid pyrophosphate, sodium bicarbonate), nonfat milk powder, sea s",United States,True,Cultivation of cereal grains nec,Bread,0.67609185,0.8787608464606183,2.2412011
La Brea Bakery Ciabatta Loaf Freshly Baked In Store,"Unbleached enriched flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, sour culture, extra virgin olive oil, salt, yeast, wheat germ, white degerminated corn meal.",United States,True,Processing of Food products nec,Bread,0.5211662,0.8787608464606183,2.2412011
Belgian Choc Chip Waffle,"Unbleached wheat flour, vegetable fat non hydrogenated, water, sugar, chocolate chips (sugar, chocolate liquor, cocoa butter, dextrose, soya lecithin), yeast, eggs, butter, soy flour, salt, vanilla.",United States,True,Manufacture of beverages,Chocolate cheesecake,0.46911022,4.900423833333333,6.511175266666667
